elapsed_s,gpu0_gb,gpu1_gb,gpu_total_gb,host_gb,total_gb,host_frac,host_peak_gb,host_blocks,host_flushes,host_evicted,serving_gb,park_local_gb,park_peer_gb,dropped_gb,host_evicted_gb,peer_frac_of_parked,fetch_hits,fetch_local_hits,fetch_peer_hits,fetch_host_hits,fetch_miss,fetch_already,fetch_nospace,fetched_tokens,parked_tokens,writers,stale
148.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
149.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
150.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
151.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
152.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
153.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
154.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
155.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
156.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.3027,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,54,0,0,0,0,2,0
157.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.4354,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,55,0,0,0,0,2,0
158.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.4354,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,55,0,0,0,0,2,0
159.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.4354,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,55,0,0,0,0,2,0
160.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.4354,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,55,0,0,0,0,2,0
161.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8294,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,56,0,0,0,0,2,0
162.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8294,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,56,0,0,0,0,2,0
163.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8294,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,56,0,0,0,0,2,0
164.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8294,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,56,0,0,0,0,2,0
165.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7935,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,57,0,0,0,0,2,0
166.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
167.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
168.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
169.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
170.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
171.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7519,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,58,0,0,0,0,2,0
172.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.9228,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,59,0,0,0,0,2,0
173.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0285,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,60,0,0,0,0,2,0
174.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0285,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,60,0,0,0,0,2,0
175.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,61,0,0,0,0,2,0
176.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,61,0,0,0,0,2,0
177.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,61,0,0,0,0,2,0
178.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,61,0,0,0,0,2,0
179.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,63,0,0,0,0,2,0
180.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,63,0,0,0,0,2,0
181.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,63,0,0,0,0,2,0
182.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,63,0,0,0,0,2,0
183.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0262,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,63,0,0,0,0,2,0
184.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
185.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
186.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
187.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
188.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
189.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
190.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
191.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
192.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
193.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0311,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,64,0,0,0,0,2,0
194.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.0342,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,65,0,0,0,0,2,0
195.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7963,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,66,0,0,0,0,2,0
196.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7963,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,66,0,0,0,0,2,0
197.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7778,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,67,0,0,0,0,2,0
198.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7778,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,67,0,0,0,0,2,0
199.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
200.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
201.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
202.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
203.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
204.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8263,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,68,0,0,0,0,2,0
205.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7863,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,69,0,0,0,0,2,0
206.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.7863,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,69,0,0,0,0,2,0
207.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,5.8302,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,70,0,0,0,0,2,0
208.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.1992,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,71,0,0,0,0,2,0
209.0,0.0354,1.2512,1.2866,0.0,1.2866,0.0,0.0,0,0,0,6.1992,4.9376,0.0354,0.0,0.0,0.0071,0,0,0,0,71,0,0,0,0,2,0
210.0,0.0354,2.0015,2.0369,0.0,2.0369,0.0,0.0,0,0,0,6.202,5.6879,0.0354,0.0,0.0,0.0062,0,0,0,0,72,0,0,0,0,2,0
211.0,0.0354,2.0015,2.0369,0.0,2.0369,0.0,0.0,0,0,0,6.202,5.6879,0.0354,0.0,0.0,0.0062,0,0,0,0,72,0,0,0,0,2,0
212.0,0.0354,2.0015,2.0369,0.0,2.0369,0.0,0.0,0,0,0,6.202,5.6879,0.0354,0.0,0.0,0.0062,0,0,0,0,72,0,0,0,0,2,0
213.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.202,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,72,0,0,0,0,2,0
214.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.202,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,72,0,0,0,0,2,0
215.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.202,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,72,0,0,0,0,2,0
216.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.3983,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,73,0,0,0,0,2,0
217.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.3983,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,73,0,0,0,0,2,0
218.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.3983,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,73,0,0,0,0,2,0
219.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.3983,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,73,0,0,0,0,2,0
220.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.3983,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,73,0,0,0,0,2,0
221.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.402,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,74,0,0,0,0,2,0
222.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.164,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,75,0,0,0,0,2,0
223.0,0.0354,2.7496,2.785,0.0,2.785,0.0,0.0,0,0,0,6.164,6.436,0.0354,0.0,0.0,0.0055,0,0,0,0,75,0,0,0,0,2,0
224.0,0.0354,3.032,3.0674,0.0,3.0674,0.0,0.0,0,0,0,6.164,6.7184,0.0354,0.0,0.0,0.0052,0,0,0,0,75,0,0,0,0,2,0
225.0,0.0354,3.032,3.0674,0.0,3.0674,0.0,0.0,0,0,0,6.164,6.7184,0.0354,0.0,0.0,0.0052,0,0,0,0,75,0,0,0,0,2,0
226.0,0.0354,3.0546,3.09,0.0,3.09,0.0,0.0,0,0,0,6.164,6.741,0.0354,0.0,0.0,0.0052,0,0,0,0,75,0,0,0,0,2,0
227.0,0.0354,3.0546,3.09,0.0,3.09,0.0,0.0,0,0,0,6.2713,6.741,0.0354,0.0,0.0,0.0052,0,0,0,0,76,0,0,0,0,2,0
228.0,0.0354,3.0546,3.09,0.0,3.09,0.0,0.0,0,0,0,6.2713,6.741,0.0354,0.0,0.0,0.0052,0,0,0,0,76,0,0,0,0,2,0
229.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3049,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,78,0,0,0,0,2,0
230.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3049,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,78,0,0,0,0,2,0
231.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3049,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,78,0,0,0,0,2,0
232.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3049,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,78,0,0,0,0,2,0
233.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3049,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,78,0,0,0,0,2,0
234.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3114,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,79,0,0,0,0,2,0
235.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3114,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,79,0,0,0,0,2,0
236.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3114,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,79,0,0,0,0,2,0
237.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3114,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,79,0,0,0,0,2,0
238.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3398,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,80,0,0,0,0,2,0
239.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3398,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,81,0,0,0,0,2,0
240.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3398,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,82,0,0,0,0,2,0
241.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3866,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,83,0,0,0,0,2,0
242.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3866,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,83,0,0,0,0,2,0
243.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3866,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,83,0,0,0,0,2,0
244.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3015,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,84,0,0,0,0,2,0
245.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3015,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,84,0,0,0,0,2,0
246.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3015,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,84,0,0,0,0,2,0
247.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.3015,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,84,0,0,0,0,2,0
248.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.262,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,86,0,0,0,0,2,0
249.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.262,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,86,0,0,0,0,2,0
250.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.262,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,86,0,0,0,0,2,0
251.0,0.8164,3.0546,3.871,0.0,3.871,0.0,0.0,0,0,0,6.262,6.741,0.8164,0.0,0.0,0.108,0,0,0,0,86,0,0,0,0,2,0
252.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
253.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
254.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
255.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
256.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
257.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2659,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,87,0,0,0,0,2,0
258.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3891,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,88,0,0,0,0,2,0
259.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.367,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,89,0,0,0,0,2,0
260.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.367,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,89,0,0,0,0,2,0
261.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.367,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,89,0,0,0,0,2,0
262.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
263.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
264.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
265.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
266.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
267.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
268.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
269.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.0306,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,90,0,0,0,0,2,0
270.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.068,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,91,0,0,0,0,2,0
271.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1627,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,92,0,0,0,0,2,0
272.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1627,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,92,0,0,0,0,2,0
273.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1627,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,92,0,0,0,0,2,0
274.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1627,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,92,0,0,0,0,2,0
275.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1627,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,92,0,0,0,0,2,0
276.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
277.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
278.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
279.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
280.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
281.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
282.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
283.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
284.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
285.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
286.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
287.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
288.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3206,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,93,0,0,0,0,2,0
289.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.3075,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,94,0,0,0,0,2,0
290.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
291.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
292.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
293.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
294.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
295.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
296.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,95,0,0,0,0,2,0
297.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.2828,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,96,0,0,0,0,2,0
298.0,0.8164,3.6864,4.5028,0.0,4.5028,0.0,0.0,0,0,0,6.1558,7.3728,0.8164,0.0,0.0,0.0997,0,0,0,0,96,0,0,0,0,2,0
